date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,lambda_jump,jump_mean,jump_std,abs_error,sq_error
2025-08-19,2025-09-19,P,6411.37,6300.0,0.084931506849315,53.75,49.81032269250233,imex_euler,0.01,-0.005,0.03,3.939677307497668,15.521057287212074
2025-08-19,2025-09-19,P,6411.37,6400.0,0.084931506849315,79.94999999999999,82.54334738455691,imex_euler,0.01,-0.005,0.03,2.593347384556921,6.725450656988223
2025-08-19,2025-09-19,P,6411.37,6400.0,0.084931506849315,79.94999999999999,82.80791465820138,imex_euler,0.01,-0.005,0.03,2.857914658201395,8.167676193562395
2025-08-19,2025-10-17,C,6411.37,5000.0,0.1616438356164383,1444.05,1457.7168974643473,imex_euler,0.01,-0.005,0.03,13.666897464347358,186.78408630098423
2025-08-19,2025-10-17,C,6411.37,5000.0,0.1616438356164383,1444.05,1456.5918622350973,imex_euler,0.01,-0.005,0.03,12.54186223509737,157.29830832416158
2025-08-19,2025-10-17,P,6411.37,5100.0,0.1616438356164383,8.65,8.930020757131789,imex_euler,0.01,-0.005,0.03,0.28002075713178876,0.07841162442466022
2025-08-19,2025-10-17,P,6411.37,5100.0,0.1616438356164383,8.65,8.96632528904692,imex_euler,0.01,-0.005,0.03,0.3163252890469188,0.10006168849061674
2025-08-19,2025-10-17,P,6411.37,6150.0,0.1616438356164383,62.45,62.41069318302654,imex_euler,0.01,-0.005,0.03,0.03930681697346472,0.0015450258605854542
2025-08-19,2025-10-17,P,6411.37,6150.0,0.1616438356164383,62.45,62.66215885085692,imex_euler,0.01,-0.005,0.03,0.2121588508569161,0.04501137799692717
2025-08-19,2025-10-17,P,6411.37,6300.0,0.1616438356164383,89.35,85.43462978578333,imex_euler,0.01,-0.005,0.03,3.915370214216665,15.330123914375054
2025-08-19,2025-10-17,P,6411.37,6300.0,0.1616438356164383,89.35,85.78181906665557,imex_euler,0.01,-0.005,0.03,3.568180933344422,12.73191517308267
2025-08-19,2025-09-30,P,6411.37,5350.0,0.1150684931506849,6.75,7.058435579470956,imex_euler,0.01,-0.005,0.03,0.3084355794709559,0.09513250668358435
2025-08-19,2025-09-30,P,6411.37,5350.0,0.1150684931506849,6.75,7.077843299408921,imex_euler,0.01,-0.005,0.03,0.3278432994089213,0.10748122896732763
2025-08-19,2025-10-17,P,6411.37,6150.0,0.1616438356164383,63.2,61.65151152722411,imex_euler,0.01,-0.005,0.03,1.5484884727758939,2.39781655031982
2025-08-19,2025-10-17,P,6411.37,6150.0,0.1616438356164383,63.2,61.901761018151724,imex_euler,0.01,-0.005,0.03,1.2982389818482787,1.6854244539904553
2025-08-20,2025-09-19,C,6395.78,6000.0,0.0821917808219178,429.7,419.65979663338635,imex_euler,0.01,-0.005,0.03,10.040203366613639,100.80568364295985
2025-08-20,2025-09-19,C,6395.78,6000.0,0.0821917808219178,429.7,450.1433164947437,imex_euler,0.01,-0.005,0.03,20.443316494743726,417.9291893042609
2025-08-20,2025-09-19,C,6395.78,6100.0,0.0821917808219178,338.2,356.0878917475969,imex_euler,0.01,-0.005,0.03,17.88789174759694,319.97667117374664
2025-08-20,2025-09-19,C,6395.78,6100.0,0.0821917808219178,338.2,355.64520378670954,imex_euler,0.01,-0.005,0.03,17.445203786709556,304.3351351598254
2025-08-20,2025-09-19,P,6395.78,5900.0,0.0821917808219178,13.3,14.87345931666572,imex_euler,0.01,-0.005,0.03,1.5734593166657191,2.4757742212021516
2025-08-20,2025-09-19,P,6395.78,5900.0,0.0821917808219178,13.3,14.915880548343878,imex_euler,0.01,-0.005,0.03,1.6158805483438776,2.6110699465161105
2025-08-20,2025-09-19,P,6395.78,6000.0,0.0821917808219178,18.7,19.380558630525655,imex_euler,0.01,-0.005,0.03,0.6805586305256561,0.46316004958295653
2025-08-20,2025-09-19,P,6395.78,6000.0,0.0821917808219178,18.7,19.43871284094249,imex_euler,0.01,-0.005,0.03,0.7387128409424903,0.5456966613733251
2025-08-20,2025-09-19,P,6395.78,6050.0,0.0821917808219178,22.4,24.91590214768266,imex_euler,0.01,-0.005,0.03,2.515902147682663,6.329763616714237
2025-08-20,2025-09-19,P,6395.78,6050.0,0.0821917808219178,22.4,24.99087550263472,imex_euler,0.01,-0.005,0.03,2.59087550263472,6.712635870152713
